title,link
"US sanctions mining magnate accused of corruption in the Congo, reversing Trump-era move",{'https://news.google.com/articles/CAIiEGIT2hbccMHeJ34x6SP_aXoqGQgEKhAIACoHCAow3e2TCzDU9KgDMJ3ywAY?uo=CAUijAFodHRwczovL3d3dy5pY2lqLm9yZy9pbnZlc3RpZ2F0aW9ucy9wYXJhZGlzZS1wYXBlcnMvdXMtc2FuY3Rpb25zLW1pbmluZy1tYWduYXRlLWFjY3VzZWQtb2YtY29ycnVwdGlvbi1pbi10aGUtY29uZ28tcmV2ZXJzaW5nLXRydW1wLWVyYS1tb3ZlL9IBAA&hl=en-KE&gl=KE&ceid=KE%3Aen'}
DR Congo loses $750m in mining revenues to corruption,{'https://news.google.com/articles/CBMiXWh0dHBzOi8vd3d3LmFsamF6ZWVyYS5jb20vbmV3cy8yMDE3LzcvMjEvZHItY29uZ28tbG9zZXMtNzUwbS1pbi1taW5pbmctcmV2ZW51ZXMtdG8tY29ycnVwdGlvbtIBYWh0dHBzOi8vd3d3LmFsamF6ZWVyYS5jb20vYW1wL25ld3MvMjAxNy83LzIxL2RyLWNvbmdvLWxvc2VzLTc1MG0taW4tbWluaW5nLXJldmVudWVzLXRvLWNvcnJ1cHRpb24?hl=en-KE&gl=KE&ceid=KE%3Aen'}
Opinion | Corruption and Environmental Damage: Chinese Fossil Fuel Investments in Africa,{'https://news.google.com/articles/CBMieGh0dHBzOi8vd3d3LmNvbW1vbmRyZWFtcy5vcmcvdmlld3MvMjAyMS8xMS8wOS9jb3JydXB0aW9uLWFuZC1lbnZpcm9ubWVudGFsLWRhbWFnZS1jaGluZXNlLWZvc3NpbC1mdWVsLWludmVzdG1lbnRzLWFmcmljYdIBAA?hl=en-KE&gl=KE&ceid=KE%3Aen'}
Powering Down Corruption: Tackling Transparency and Human Rights Risks from Congo's Cobalt Mines to Global Supply Chains - Democratic Republic of the Congo,{'https://news.google.com/articles/CAIiEOQj5Gp5NO9q6W7BEi8K7wYqGQgEKhAIACoHCAow4OH9CjCg6_UCMJ-42gU?uo=CAUidmh0dHBzOi8vcmVsaWVmd2ViLmludC9yZXBvcnQvZGVtb2NyYXRpYy1yZXB1YmxpYy1jb25nby9wb3dlcmluZy1kb3duLWNvcnJ1cHRpb24tdGFja2xpbmctdHJhbnNwYXJlbmN5LWFuZC1odW1hbi1yaWdodHPSAQA&hl=en-KE&gl=KE&ceid=KE%3Aen'}
Zimbabwe: Passport Officials Corruptly Earn Thousands of Dollars,{'https://news.google.com/articles/CAIiEPrHPWmf3WnqVTifnt9A4lsqFggEKg4IACoGCAowpa8mMJL_BTChtQY?uo=CAUiL2h0dHBzOi8vYWxsYWZyaWNhLmNvbS9zdG9yaWVzLzIwMjExMTI2MDM2MS5odG1s0gEA&hl=en-KE&gl=KE&ceid=KE%3Aen'}
Unprecedented corruption trial of Vital Kamerhe in DR Congo adjourned,{'https://news.google.com/articles/CBMiZGh0dHBzOi8vd3d3LnJmaS5mci9lbi9hZnJpY2EvMjAyMDA1MTMtYWZyaWNhLWRyYy1jb25nby1jb3JydXB0aW9uLXRyaWFsLWFkam91cm5lZC1rYW1lcmhlLXRzaGlzZWtlZGnSAWRodHRwczovL2FtcC5yZmkuZnIvZW4vYWZyaWNhLzIwMjAwNTEzLWFmcmljYS1kcmMtY29uZ28tY29ycnVwdGlvbi10cmlhbC1hZGpvdXJuZWQta2FtZXJoZS10c2hpc2VrZWRp?hl=en-KE&gl=KE&ceid=KE%3Aen'}
Readout of President Biden's Meeting with President Felix Tshisekedi of the Democratic Republic of the Congo,{'https://news.google.com/articles/CBMitAFodHRwczovL3d3dy53aGl0ZWhvdXNlLmdvdi9icmllZmluZy1yb29tL3N0YXRlbWVudHMtcmVsZWFzZXMvMjAyMS8xMC8zMC9yZWFkb3V0LW9mLXByZXNpZGVudC1iaWRlbnMtbWVldGluZy13aXRoLXByZXNpZGVudC1mZWxpeC10c2hpc2VrZWRpLW9mLXRoZS1kZW1vY3JhdGljLXJlcHVibGljLW9mLXRoZS1jb25nby_SAQA?hl=en-KE&gl=KE&ceid=KE%3Aen'}
New Congo aid corruption report,{'https://news.google.com/articles/CAIiEHCWsSXLLTctI9vip6ZMpXUqGQgEKhAIACoHCAowveqPCzDFtKMDMOHasAY?uo=CAUiZ2h0dHBzOi8vd3d3LnRoZW5ld2h1bWFuaXRhcmlhbi5vcmcvaW52ZXN0aWdhdGlvbi8yMDIwLzA2LzEyL0NvbmdvLWFpZC1jb3JydXB0aW9uLWFidXNlLURGSUQtRFJDLVVOLU5HT3PSAQA&hl=en-KE&gl=KE&ceid=KE%3Aen'}
Congo-Kinshasa: DR Congo Stares at U.S.$3.7 Billion Loss in Skewed Mining Deals,{'https://news.google.com/articles/CAIiEBZ7rbBs_6Y-H_Au2I2LxcAqFggEKg4IACoGCAowpa8mMJL_BTDn3w4?uo=CAUiL2h0dHBzOi8vYWxsYWZyaWNhLmNvbS9zdG9yaWVzLzIwMjEwNTI0MDYyNC5odG1s0gEA&hl=en-KE&gl=KE&ceid=KE%3Aen'}
DR Congo: Ex-health minister jailed over corruption,{'https://news.google.com/articles/CBMiWmh0dHBzOi8vd3d3LmFhLmNvbS50ci9lbi9hZnJpY2EvZHItY29uZ28tZXgtaGVhbHRoLW1pbmlzdGVyLWphaWxlZC1vdmVyLWNvcnJ1cHRpb24vMTc3NjYwM9IBAA?hl=en-KE&gl=KE&ceid=KE%3Aen'}
